house_type,house_size,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,SecurityDeposit,Status,price_per_sqft,size_bucket,property_id
3 BHK Independent Floor ,1800,Greater Kailash,Delhi,28.53398132,77.24250031,70000,INR,3.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,38.888888888888886,Large,47
3 BHK Independent Floor ,2500,DLF Phase 5,Delhi,28.45732117,77.10906219,65000,INR,3.0,0.0,Unknown,,Posted 3 days ago,No Deposit,Furnished,26.0,Large,48
3 BHK Independent House ,1250,Chittaranjan Park,Delhi,28.53881073,77.2489624,48000,INR,2.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Furnished,38.4,Large,49
1 RK Studio Apartment ,400,Green Park,Delhi,28.55895805,77.20407867,20000,INR,1.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,50.0,Small,50
1 BHK Apartment ,800,Naraina,Delhi,28.62810516,77.14019012,14000,INR,1.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Unfurnished,17.5,Medium,51
2 BHK Apartment ,900,Sector 19 Dwarka,Delhi,28.57611275,77.04671478,25000,INR,2.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,27.77777777777778,Medium,52
3 BHK Apartment ,1500,Sector 23 Dwarka,Delhi,28.56313705,77.05447388,35000,INR,2.0,0.0,Unknown,,Posted 3 years ago,No Deposit,Semi-Furnished,23.333333333333332,Large,53
3 BHK Apartment ,1900,Sector 6 Dwarka,Delhi,28.58728218,77.06472778,42000,INR,2.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Furnished,22.105263157894736,Large,54
3 BHK Independent Floor ,1801,Lajpat Nagar III,Delhi,28.56769562,77.24327087,59999,INR,3.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,33.314269850083285,Large,55
4 BHK Independent Floor ,2700,Mansarover Garden,Delhi,28.64249039,77.13269806,50000,INR,4.0,0.0,Unknown,,Posted 4 years ago,No Deposit,Furnished,18.51851851851852,Large,56
3 BHK Apartment ,1960,Sector-18 Dwarka,Delhi,28.58725357,77.03544617,30000,INR,3.0,0.0,Unknown,,Posted 2 years ago,No Deposit,Semi-Furnished,15.306122448979592,Large,57
2 BHK Apartment ,720,Chattarpur,Delhi,28.49046516,77.17954254,15000,INR,2.0,0.0,Unknown,,Posted 2 months ago,No Deposit,Semi-Furnished,20.833333333333332,Medium,58
2 BHK Independent Floor ,1050,Vasant Kunj,Delhi,28.52456093,77.14914703,35000,INR,2.0,0.0,Unknown,,Posted 11 days ago,No Deposit,Semi-Furnished,33.333333333333336,Large,59
